Timestamp,Gender,MDE,Mom_Hours,Dad_Hours
10/30/2023 11:15:49,Male,Equal,6,6
10/30/2023 11:16:42,Female,Equal,4,3
10/30/2023 11:17:03,Male,Equal,5,5
10/30/2023 11:17:20,Female,Equal,20,15
10/30/2023 11:17:25,Male,Mom,7,6
10/30/2023 11:18:11,Female,Equal,8,8
10/30/2023 11:18:52,Female,Equal,5,5
10/30/2023 11:20:24,Male,Equal,18,6
10/30/2023 11:22:55,Female,Equal,18,6
10/30/2023 11:23:16,Female,Equal,24,0
10/30/2023 11:23:43,Female,Mom,4,5
10/30/2023 11:26:06,Female,Equal,18,12
10/30/2023 11:27:40,Male,Equal,10,6
10/30/2023 11:29:01,Female,Equal,24,8
10/30/2023 11:29:32,Female,Equal,8,5
10/30/2023 11:30:19,Female,Equal,5,5
10/30/2023 11:30:49,Female,Mom,6,2
10/30/2023 11:31:05,Female,Equal,3,2
10/30/2023 11:31:14,Male,Equal,4,2
10/30/2023 11:31:57,Female,Dad,8,4
10/30/2023 11:32:14,Female,Equal,10,8
10/30/2023 11:32:19,Female,Equal,9,7
10/30/2023 11:32:39,Female,Equal,12,6
10/30/2023 11:33:03,Female,Equal,7,4
10/30/2023 11:34:28,Female,Equal,15,15
10/30/2023 11:34:53,Female,Equal,24,8
10/30/2023 11:35:13,Female,Equal,15,10
10/30/2023 11:35:25,Female,Equal,12,12
10/30/2023 11:36:32,Female,Equal,24,24
10/30/2023 11:36:48,Female,Equal,20,15
10/30/2023 11:37:11,Male,Equal,7,5
10/30/2023 11:37:17,Male,Equal,6,6
10/30/2023 11:37:24,Female,Equal,24,15
10/30/2023 11:37:28,Female,Equal,10,6
10/30/2023 11:38:50,Female,Equal,24,18
10/30/2023 11:39:19,Female,Equal,24,10
10/30/2023 11:39:21,Female,Equal,7,5
10/30/2023 11:39:35,Male,Equal,9,24
10/30/2023 11:39:39,Female,Equal,16,8
10/30/2023 11:40:15,Female,Mom,10,3
10/30/2023 11:40:21,Male,Equal,6,6
10/30/2023 11:41:04,Female,Equal,6,3
10/30/2023 11:41:20,Female,Equal,6,3
10/30/2023 11:41:26,Female,Equal,6,3
10/30/2023 11:42:07,Female,Equal,8,4
10/30/2023 11:44:07,Female,Equal,20,15
10/30/2023 11:45:48,Female,Mom,10,8
10/30/2023 11:46:49,Male,Dad,4,12
10/30/2023 11:47:21,Female,Equal,15,5
10/30/2023 11:47:24,Female,Equal,8,3
10/30/2023 11:49:43,Female,Equal,15,8
10/30/2023 11:49:54,Female,Equal,10,10
10/30/2023 11:52:40,Male,Equal,15,4
10/30/2023 11:53:41,Female,Mom,24,8
10/30/2023 11:55:12,Female,Equal,12,8
10/30/2023 11:59:09,Female,Equal,12,5
10/30/2023 12:01:08,Female,Mom,12,7
10/30/2023 12:02:44,Female,Equal,8,4
10/30/2023 12:03:53,Female,Equal,20,8
10/30/2023 12:08:11,Female,Equal,5,5
10/30/2023 12:08:43,Female,Equal,2,0
10/30/2023 12:15:43,Female,Equal,12,6
10/30/2023 12:18:23,Female,Equal,16,10
10/30/2023 12:22:24,Female,Equal,8,8
10/30/2023 12:27:06,Female,Equal,3,2
10/30/2023 12:27:52,Female,Equal,24,2
10/30/2023 12:32:00,Female,Equal,12,6
10/30/2023 12:33:59,Female,Equal,12,12
10/30/2023 12:35:31,Female,Equal,10,7
10/30/2023 12:44:04,Female,Equal,3,1
10/30/2023 12:47:29,Female,Equal,24,24
10/30/2023 12:51:52,Female,Equal,20,5
10/30/2023 12:52:06,Male,Equal,14,9
10/30/2023 12:53:22,Male,Mom,3,3
10/30/2023 12:53:44,Female,Equal,4,2
10/30/2023 12:54:44,Female,Mom,10,2
10/30/2023 12:57:32,Female,Equal,22,10
