Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/24,Thursday,INSTAGRAM,93,Social Media
8/24,Thursday,SNAPCHAT,119,Social Media
8/24,Thursday,TIKTOK,159,Social Media
8/24,Thursday,MESSAGES,131,Entertainment
8/25,Friday,TIKTOK,175,Social Media
8/25,Friday,INSTAGRAM,117,Social Media
8/25,Friday,FACETIME,144,Social Media
8/25,Friday,SNAPCHAT,178,Social Media
8/26,Saturday,INSTAGRAM,91,Social Media
8/26,Saturday,SNAPCHAT,120,Social Media
8/26,Saturday,TIKTOK,75,Social Media
8/26,Saturday,AMAZON,33,Entertainment
8/27,Sunday,TIKTOK,89,Social Media
8/27,Sunday,INSTAGRAM,102,Social Media
8/27,Sunday,TIKTOK,75,Social Media
8/27,Sunday,MESSAGES,29,Entertainment
8/28,Monday,SNAPCHAT,88,Social Media
8/28,Monday,INSTAGRAM,132,Social Media
8/28,Monday,PINTEREST,52,Entertainment
8/28,Monday,SPOTIFY,143,Entertainment
8/29,Tuesday,INSTAGRAM,43,Social Media
8/29,Tuesday,TIKTOK,79,Social Media
8/29,Tuesday,SPOTIFY,39,Entertainment
8/29,Tuesday,SNAPCHAT,176,Social Media
8/30,Wednesday,INSTAGRAM,86,Social Media
8/30,Wednesday,TIKTOK,133,Social Media
8/30,Wednesday,MESSAGES,53,Entertainment
8/30,Wednesday,PINTEREST,15,Entertainment
8/31,Thursday,TIKTOK,109,Social Media
8/31,Thursday,INSTAGRAM,95,Social Media
8/31,Thursday,TIKTOK,80,Social Media
8/31,Thursday,SPOTIFY,78,Entertainment
